frame_index,pts_ms,timecode,keypoint,x,y
1,0,00:00:00.000,ear,787.6840209960938,173.35180163383484
1,0,00:00:00.000,shoulder,754.9691390991211,315.8328151702881
1,0,00:00:00.000,elbow,935.4921913146973,412.67860651016235
1,0,00:00:00.000,wrist,1098.3556365966797,468.69468569755554
1,0,00:00:00.000,hand,1141.5087890625,478.68199825286865
1,0,00:00:00.000,hip,679.3279266357422,631.1920380592346
1,0,00:00:00.000,knee,948.9629173278809,506.57405376434326
1,0,00:00:00.000,ankle,1032.8770065307617,790.0516390800476
2,33,00:00:00.033,ear,749.4861030578613,173.31993699073792
2,33,00:00:00.033,shoulder,714.2256546020508,314.40518260002136
2,33,00:00:00.033,elbow,895.7164764404297,407.91996002197266
2,33,00:00:00.033,wrist,1048.9918899536133,457.75593996047974
2,33,00:00:00.033,hand,1097.1101760864258,469.61058497428894
2,33,00:00:00.033,hip,662.8079795837402,631.7471265792847
2,33,00:00:00.033,knee,931.3421058654785,508.79621028900146
2,33,00:00:00.033,ankle,1032.9283905029297,778.5945296287537
3,67,00:00:00.067,ear,699.3501663208008,172.50693798065186
3,67,00:00:00.067,shoulder,676.6798210144043,314.41487073898315
3,67,00:00:00.067,elbow,849.5939826965332,405.92214345932007
3,67,00:00:00.067,wrist,1014.3093109130859,451.72911286354065
3,67,00:00:00.067,hand,1057.485580444336,459.270122051239
3,67,00:00:00.067,hip,644.1006660461426,632.4042463302612
3,67,00:00:00.067,knee,912.5641250610352,518.7751543521881
3,67,00:00:00.067,ankle,1032.9254150390625,779.6895790100098
4,100,00:00:00.100,ear,647.028636932373,171.4198225736618
4,100,00:00:00.100,shoulder,630.4938697814941,314.4321870803833
4,100,00:00:00.100,elbow,811.8878746032715,406.16241574287415
4,100,00:00:00.100,wrist,979.0839385986328,449.8681855201721
4,100,00:00:00.100,hand,1024.0672302246094,459.5633089542389
4,100,00:00:00.100,hip,621.5653610229492,635.1754403114319
4,100,00:00:00.100,knee,898.8860321044922,533.3465015888214
4,100,00:00:00.100,ankle,1036.248779296875,780.1042056083679
5,133,00:00:00.133,ear,598.8015747070312,168.69523465633392
5,133,00:00:00.133,shoulder,576.4284324645996,313.1959354877472
5,133,00:00:00.133,elbow,764.5466995239258,406.8765699863434
5,133,00:00:00.133,wrist,927.2231483459473,444.84419345855713
5,133,00:00:00.133,hand,979.1793823242188,454.23975706100464
5,133,00:00:00.133,hip,594.9450302124023,636.7968678474426
5,133,00:00:00.133,knee,873.5903549194336,543.4425401687622
5,133,00:00:00.133,ankle,1036.2274932861328,780.3858375549316
6,167,00:00:00.167,ear,547.3806381225586,168.45499455928802
6,167,00:00:00.167,shoulder,528.3891105651855,313.47434878349304
6,167,00:00:00.167,elbow,709.8438262939453,407.98394680023193
6,167,00:00:00.167,wrist,879.4891548156738,442.0982336997986
6,167,00:00:00.167,hand,930.5925750732422,450.23974657058716
6,167,00:00:00.167,hip,575.8692169189453,636.0196924209595
6,167,00:00:00.167,knee,857.2053909301758,556.6773748397827
6,167,00:00:00.167,ankle,1036.2296676635742,780.9534788131714
7,200,00:00:00.200,ear,544.6805763244629,166.70982599258423
7,200,00:00:00.200,shoulder,521.1870574951172,314.8626172542572
7,200,00:00:00.200,elbow,703.7470436096191,409.34086561203003
7,200,00:00:00.200,wrist,878.0254554748535,438.8048779964447
7,200,00:00:00.200,hand,926.6255378723145,449.9781668186188
7,200,00:00:00.200,hip,572.4611663818359,635.9468865394592
7,200,00:00:00.200,knee,856.3497734069824,558.2246446609497
7,200,00:00:00.200,ankle,1036.684226989746,780.8421778678894
8,233,00:00:00.233,ear,500.0695610046387,166.73551082611084
8,233,00:00:00.233,shoulder,479.80055809020996,318.58991146087646
8,233,00:00:00.233,elbow,643.2064819335938,412.0952260494232
8,233,00:00:00.233,wrist,828.9044952392578,439.80201601982117
8,233,00:00:00.233,hand,880.1043891906738,451.67864441871643
8,233,00:00:00.233,hip,553.3938217163086,636.8598890304565
8,233,00:00:00.233,knee,840.0632858276367,570.0011086463928
8,233,00:00:00.233,ankle,1035.8041763305664,781.0642004013062
9,267,00:00:00.267,ear,451.2330436706543,169.3715214729309
9,267,00:00:00.267,shoulder,427.4607467651367,322.5733458995819
9,267,00:00:00.267,elbow,584.282341003418,422.0120179653168
9,267,00:00:00.267,wrist,773.3124732971191,441.19466185569763
9,267,00:00:00.267,hand,829.9665641784668,452.8059446811676
9,267,00:00:00.267,hip,531.6826057434082,637.9058218002319
9,267,00:00:00.267,knee,823.3834648132324,574.410982131958
9,267,00:00:00.267,ankle,1036.4483642578125,781.3365626335144
10,300,00:00:00.300,ear,411.6122817993164,172.91842639446259
10,300,00:00:00.300,shoulder,383.9402675628662,328.68475914001465
10,300,00:00:00.300,elbow,542.1121788024902,440.52669525146484
10,300,00:00:00.300,wrist,739.046630859375,442.05957770347595
10,300,00:00:00.300,hand,794.0192413330078,453.51507782936096
10,300,00:00:00.300,hip,510.7720756530762,640.8439350128174
10,300,00:00:00.300,knee,804.9072647094727,600.743408203125
10,300,00:00:00.300,ankle,1036.640510559082,780.9438872337341
11,333,00:00:00.333,ear,370.60638427734375,184.24093186855316
11,333,00:00:00.333,shoulder,344.031286239624,335.062837600708
11,333,00:00:00.333,elbow,487.31632232666016,458.156179189682
11,333,00:00:00.333,wrist,660.8176231384277,442.59071946144104
11,333,00:00:00.333,hand,717.843132019043,452.554407119751
11,333,00:00:00.333,hip,497.3744773864746,643.8592314720154
11,333,00:00:00.333,knee,792.8483390808105,618.5638546943665
11,333,00:00:00.333,ankle,1035.5065155029297,776.3511943817139
12,367,00:00:00.367,ear,339.2263698577881,195.55519759655
12,367,00:00:00.367,shoulder,309.2596435546875,346.7951738834381
12,367,00:00:00.367,elbow,430.504789352417,487.9601776599884
